code,observed_at,start_at,status,chance_this,chance_next,news
15157,1722586591,1722586591,a,,,
15157,1725630627,1725138005,d,,75.0,Hamstring injury - 75% chance of playing
15157,1726494724,1726494724,i,0.0,0.0,Hamstring injury - Expected back 28 Sep
15157,1727772988,1727772988,d,50.0,50.0,Hamstring injury - 50% chance of playing
15157,1728291745,1728291745,d,75.0,75.0,Lack of match fitness - 75% chance of playing
15157,1729760392,1729760392,i,0.0,0.0,Hamstring injury - Unknown return date
15157,1734685493,1734685493,d,25.0,25.0,Hamstring injury - 25% chance of playing
15157,1734944423,1734944423,i,0.0,0.0,Hamstring injury - Unknown return date
15157,1735398440,1735398440,d,25.0,25.0,Hamstring injury - 25% chance of playing
15157,1737177344,1737177344,i,0.0,0.0,Hamstring injury - Unknown return date
15157,1745626070,1745626070,i,0.0,0.0,Hamstring injury - Expected back 25 May
15157,1747388684,1747388684,i,0.0,0.0,Hamstring injury - Expected back 01 Jun
15157,1749050423,1749050423,a,0.0,100.0,
17601,1722586591,1722586591,a,,,
17761,1722586591,1722586591,a,,,
17761,1724659814,1724659814,a,75.0,100.0,
17761,1745626070,1745096408,i,100.0,0.0,Hamstring injury - Expected back 01 Jun
18892,1722586591,1722586591,a,,,
18892,1724143573,1723924806,s,,0.0,Suspended until 31 Aug
18892,1724659814,1724659814,a,0.0,100.0,
19236,1722586591,1722586591,a,,,
20066,1737177344,1737177344,a,,,
21205,1722586591,1722586591,a,,,
21205,1740397855,1740150010,i,0.0,0.0,Knock - Unknown return date
21205,1743841282,1743841282,a,100.0,100.0,
37096,1722586591,1722586591,a,,,
37096,1735398440,1735264810,d,,25.0,Head injury - 25% chance of playing
37096,1736248298,1736248298,d,0.0,75.0,Head injury - 75% chance of playing
37096,1737177344,1737177344,a,100.0,100.0,
37642,1722586591,1722586591,a,,,
37642,1730127279,1730127279,a,75.0,100.0,
37642,1733535327,1733499008,i,100.0,0.0,Knock - Unknown return date
37642,1734060228,1734060228,d,0.0,50.0,Knock - 50% chance of playing
37642,1734685493,1734685493,a,75.0,100.0,
37642,1737177344,1736856009,d,25.0,25.0,Unknown - 25% chance of playing
37642,1738228966,1738228966,i,0.0,0.0,Muscle injury - Unknown return date
37642,1745626070,1745626070,a,25.0,100.0,
39155,1722586591,1722586591,a,,,
