code,observed_at,start_at,status,chance_this,chance_next,news
40146,1676634450,1676634450,d,25.0,25.0,Lack of match fitness - 25% chance of playing
40146,1682014831,1682014831,d,25.0,75.0,Lack of match fitness - 75% chance of playing
40146,1685259116,1685259116,d,25.0,25.0,Lack of match fitness - 25% chance of playing
40349,1657988027,1657988027,a,,,
40349,1659370276,1659187804,d,,50.0,Ankle injury - 50% chance of playing
40349,1659947328,1659947328,a,75.0,100.0,
40383,1657988027,1657988027,a,,,
40669,1657988027,1657988027,a,,,
40669,1659947328,1659706207,i,0.0,0.0,Lack of match fitness - Expected back 31 Aug
40669,1660639221,1660639221,d,50.0,50.0,Lack of match fitness - 50% chance of playing
40669,1661250559,1661250559,a,100.0,100.0,
40669,1682014831,1681675209,d,100.0,75.0,Knock - 75% chance of playing
40669,1682333791,1682333791,a,75.0,100.0,
40836,1657988027,1657988027,a,,,
40836,1679046737,1678921209,d,,50.0,Hamstring injury - 50% chance of playing
40836,1680813728,1680813728,a,100.0,100.0,
40836,1681291216,1680874207,i,0.0,0.0,Calf injury - Expected back 29 Apr
40836,1682333791,1682333791,a,0.0,100.0,
41328,1657988027,1657988027,a,,,
41328,1677262181,1676755808,i,,0.0,Head injury - Unknown return date
41328,1681291216,1681291216,d,0.0,75.0,Lack of match fitness - 75% chance of playing
41328,1682014831,1682014831,a,100.0,100.0,
45034,1657988027,1657988027,a,,,
45034,1679046737,1679046737,a,75.0,100.0,
45124,1675962528,1675962528,a,,,
45124,1680813728,1680813728,a,50.0,100.0,
45220,1660639221,1660639221,a,,,
47431,1662109894,1662109894,a,,,
47431,1664875640,1664649007,d,,25.0,Calf injury - 25% chance of playing
47431,1665995118,1665995118,a,100.0,100.0,
47431,1676634450,1676142010,d,100.0,75.0,Calf injury - 75% chance of playing
47431,1677262181,1677262181,a,75.0,100.0,
47431,1679914802,1679263209,s,100.0,0.0,Suspended until 08 Apr
47431,1680813728,1680813728,a,0.0,100.0,
47431,1682690190,1682496010,d,100.0,50.0,Hamstring injury - 50% chance of playing
47431,1683287633,1683287633,a,50.0,100.0,
48615,1657988027,1657988027,a,,,
48760,1661766052,1661766052,a,,,
49262,1657988027,1657988027,a,,,
49413,1657988027,1657988027,a,,,
49413,1659947328,1659625205,i,0.0,0.0,Calf injury - Unknown return date
49413,1664875640,1664875640,a,100.0,100.0,
49413,1672318255,1672079408,s,100.0,0.0,Suspended until 04 Jan
49413,1672638138,1672638138,a,0.0,100.0,
49413,1683287633,1683198009,i,100.0,0.0,Calf injury - Unknown return date
49413,1685259116,1685259116,i,0.0,0.0,Calf injury - Expected back 01 Jul
50175,1657988027,1657988027,a,,,
50175,1672318255,1671701408,i,0.0,0.0,Muscle injury - Expected back 31 Dec
50175,1672638138,1672638138,i,0.0,0.0,Muscle injury - Expected back 03 Jan
50175,1673585957,1673585957,a,0.0,100.0,
50175,1676634450,1676142009,i,100.0,0.0,Calf injury - Expected back 04 Mar
