code,observed_at,start_at,status,chance_this,chance_next,news
11948,1690810150,1690810150,a,,,
15157,1690810150,1690810150,a,,,
15157,1695656041,1695391208,d,50.0,50.0,Muscle injury - 50% chance of playing
15157,1696516727,1696516727,i,0.0,0.0,Muscle injury - Expected back 21 Oct
15157,1697747162,1697747162,d,50.0,50.0,Muscle injury - 50% chance of playing
15157,1698395227,1698395227,a,100.0,100.0,
15157,1700832134,1699581610,d,25.0,25.0,Muscle injury - 25% chance of playing
15157,1701358847,1701358847,d,0.0,50.0,Muscle injury - 50% chance of playing
15157,1701695043,1701695043,a,100.0,100.0,
15157,1706907193,1706666410,i,100.0,0.0,Muscle injury - Unknown return date
15157,1709830677,1709830677,i,0.0,0.0,Muscle injury - Expected back 31 Mar
15157,1710953733,1710953733,d,0.0,50.0,Muscle injury - 50% chance of playing
15157,1711958921,1711958921,d,50.0,25.0,Muscle injury - 25% chance of playing
15157,1713255760,1713255760,i,0.0,0.0,Muscle injury - Expected back 25 Apr
15157,1714205884,1714205884,d,50.0,25.0,Muscle injury - 25% chance of playing
15157,1715260525,1715260525,i,0.0,0.0,Muscle injury - Unknown return date
15157,1716086163,1716086163,i,0.0,0.0,Muscle injury - Expected back 01 Jun
17601,1690810150,1690810150,a,,,
17761,1690810150,1690810150,a,,,
17761,1691655056,1691364606,d,,75.0,Knock - 75% chance of playing
17761,1692153327,1692153327,a,100.0,100.0,
18892,1690810150,1690810150,a,,,
18892,1698395227,1697900409,s,,0.0,Suspended until 04 Nov
18892,1698936236,1698936236,a,0.0,100.0,
18892,1702301755,1702249211,d,100.0,75.0,Muscle injury - 75% chance of playing
18892,1703132577,1703132577,d,0.0,50.0,Muscle injury - 50% chance of playing
18892,1703505557,1703505557,d,25.0,25.0,Muscle injury - 25% chance of playing
18892,1703826734,1703826734,i,25.0,0.0,Muscle injury - Expected back 14 Jan
18892,1704272252,1704272252,d,0.0,50.0,Muscle injury - 50% chance of playing
18892,1706907193,1706907193,a,100.0,100.0,
20066,1690810150,1690810150,a,,,
20066,1691655056,1691364606,i,,0.0,Knee injury - Expected back 02 Sep
20066,1693998038,1693998038,d,75.0,75.0,Lack of match fitness - 75% chance of playing
20066,1695201757,1695201757,a,100.0,100.0,
20480,1692796125,1692796125,a,,,
21205,1690810150,1690810150,a,,,
21205,1692153327,1691758807,i,0.0,0.0,Calf injury - Unknown return date
21205,1695656041,1695656041,a,100.0,100.0,
32259,1690810150,1690810150,a,,,
32259,1698936236,1698516008,d,,25.0,Illness - 25% chance of playing
32259,1700832134,1700832134,a,25.0,100.0,
37096,1690810150,1690810150,a,,,
37096,1698936236,1698936236,a,75.0,100.0,
37642,1693998038,1693998038,a,,,
37642,1699560201,1699520411,d,,75.0,Muscle injury - 75% chance of playing
37642,1700832134,1700832134,i,0.0,0.0,Muscle injury - Unknown return date
37642,1702024280,1702024280,a,0.0,100.0,
37642,1709830677,1709744410,d,100.0,75.0,Knock - 75% chance of playing
37642,1710510981,1710510981,a,100.0,100.0,
37642,1710953733,1710799210,d,100.0,75.0,Muscle injury - 75% chance of playing
37642,1713255760,1713255760,i,0.0,0.0,Muscle injury - Expected back 24 Apr
37642,1714205884,1714205884,i,0.0,0.0,Muscle injury - Unknown return date
37642,1714725260,1714725260,d,0.0,75.0,Lack of match fitness - 75% chance of playing
37642,1715260525,1715260525,a,75.0,100.0,
37915,1690810150,1690810150,a,,,
37915,1706907193,1706771779,u,,0.0,Permanent move to Los Angeles FC
39155,1690810150,1690810150,a,,,
39155,1692153327,1691760606,d,75.0,75.0,Knock - 75% chance of playing
39155,1692796125,1692796125,a,100.0,100.0,
39155,1696516727,1695996009,i,0.0,0.0,Knock - Expected back 21 Oct
39155,1697747162,1697747162,a,0.0,100.0,
39155,1715260525,1714743010,i,0.0,0.0,Knock - Unknown return date
39155,1716086163,1716086163,a,0.0,100.0,
40145,1690810150,1690810150,a,,,
40145,1700832134,1700769610,d,,25.0,Knock - 25% chance of playing
40145,1701695043,1701695043,i,0.0,0.0,Knock - Unknown return date
40145,1702024280,1702024280,d,25.0,25.0,Calf injury - 25% chance of playing
40145,1702301755,1702301755,i,0.0,0.0,Calf injury - Unknown return date
40145,1703132577,1703132577,d,0.0,50.0,Calf injury - 50% chance of playing
40145,1703826734,1703826734,d,25.0,25.0,Calf injury - 25% chance of playing
40145,1704272252,1704272252,d,50.0,50.0,Calf injury - 50% chance of playing
40145,1706014880,1706014880,a,100.0,100.0,
40383,1690810150,1690810150,a,,,
40383,1692153327,1691769609,i,0.0,0.0,Back injury - Unknown return date
40383,1692796125,1692796125,a,0.0,100.0,
40383,1708597419,1708092010,i,0.0,0.0,Foot injury - Expected back 13 Apr
40383,1712572268,1712572268,i,0.0,0.0,Foot injury - Expected back 01 Jun
40386,1690810150,1690810150,a,,,
40386,1697747162,1696712408,i,,0.0,Leg injury - Unknown return date
40669,1690810150,1690810150,a,,,
40836,1690810150,1690810150,a,,,
40836,1693998038,1693645000,u,,0.0,Signed for Celta Vigo
41328,1690810150,1688661003,u,,0.0,Left the club as a free agent
44683,1690810150,1690810150,a,,,
45034,1690810150,1690810150,a,,,
45034,1695656041,1695213009,i,0.0,0.0,Knee injury - Expected back 01 Jun
45034,1706014880,1706014880,u,0.0,0.0,Joined Hajduk Split on a season-long loan
47247,1690810150,1690810150,a,,,
47247,1691655056,1691146804,d,,75.0,Knock - 75% chance of playing
47247,1692796125,1692796125,i,0.0,0.0,Leg injury - Unknown return date
47247,1696516727,1696516727,d,75.0,75.0,Lack of match fitness - 75% chance of playing
47247,1697747162,1697747162,a,75.0,100.0,
47247,1707224524,1707072798,u,100.0,0.0,Transferred to Blackburn Rovers
47431,1690810150,1690810150,a,,,
47431,1693216941,1692918007,d,75.0,75.0,Knock - 75% chance of playing
47431,1693998038,1693998038,a,75.0,100.0,
47431,1702301755,1702249211,d,100.0,75.0,Hamstring injury - 75% chance of playing
47431,1703132577,1703132577,a,100.0,100.0,
47431,1703505557,1703361610,d,100.0,75.0,Hamstring injury - 75% chance of playing
47431,1704272252,1704272252,a,50.0,100.0,
47431,1714205884,1713769209,d,100.0,75.0,Groin Injury - 75% chance of playing
47431,1714725260,1714725260,a,75.0,100.0,
48615,1690810150,1690810150,a,,,
48760,1690810150,1690810150,a,,,
49083,1690810150,1690810150,a,,,
49083,1693216941,1692952736,u,0.0,0.0,Released
49262,1690810150,1690810150,a,,,
49413,1690810150,1690810150,a,,,
49413,1695201757,1694791808,i,0.0,0.0,Knock - Unknown return date
49413,1697747162,1697747162,a,75.0,100.0,
49413,1698395227,1697815809,i,0.0,0.0,Calf injury - Expected back 11 Nov
49413,1700832134,1700832134,d,0.0,50.0,Calf injury - 50% chance of playing
49413,1701695043,1701695043,a,100.0,100.0,
50175,1690810150,1690810150,a,,,
50175,1693998038,1693575008,i,0.0,0.0,Muscle injury - Expected back 16 Sep
50175,1695201757,1695201757,a,75.0,100.0,
50175,1698395227,1697909408,i,100.0,0.0,Muscle injury - Unknown return date
50175,1703132577,1703132577,a,75.0,100.0,
50232,1690810150,1690810150,a,,,
50232,1695201757,1695033455,u,,0.0,Season long loan to Çaykur Rizespor
51090,1690810150,1690810150,a,,,
51090,1707907334,1707782409,d,,75.0,Groin Injury - 75% chance of playing
51090,1708597419,1708597419,i,0.0,0.0,Groin Injury - Unknown return date
51090,1709830677,1709830677,a,75.0,100.0,
51090,1714725260,1714582811,d,100.0,25.0,Groin Injury - 25% chance of playing
51090,1715260525,1715260525,a,25.0,100.0,
51927,1690810150,1690810150,a,,,
51927,1692153327,1691962206,d,,75.0,Calf injury - 75% chance of playing
51927,1693998038,1693998038,a,100.0,100.0,
51927,1695201757,1695042008,d,100.0,75.0,Knock - 75% chance of playing
51927,1696516727,1696516727,i,0.0,0.0,Muscle injury - Unknown return date
51927,1698395227,1698395227,a,75.0,100.0,
51927,1703132577,1702848608,s,100.0,0.0,Suspended until 20 Jan
51927,1704272252,1704272252,a,0.0,100.0,
51927,1709830677,1709080210,i,0.0,0.0,Ankle injury - Expected back 01 Jun
54469,1690810150,1690810150,a,,,
54469,1691655056,1691364605,d,,25.0,Muscle injury - 25% chance of playing
54469,1692153327,1692153327,i,0.0,0.0,Muscle injury - Unknown return date
54469,1693998038,1693998038,a,25.0,100.0,
54469,1706014880,1705885210,d,100.0,75.0,Knock - 75% chance of playing
54469,1706907193,1706907193,a,25.0,100.0,
54694,1690810150,1690810150,u,,0.0,
54738,1691655056,1691655056,a,,,
55037,1690810150,1690810150,a,,,
55037,1704272252,1703975410,i,,0.0,International Duty - Unknown return date
55037,1706907193,1706907193,d,0.0,25.0,Personal Reasons - 25% chance of playing
55037,1707224524,1707224524,d,25.0,75.0,Personal Reasons - 75% chance of playing
55037,1707907334,1707907334,a,100.0,100.0,
55459,1690810150,1690810150,a,,,
55459,1695656041,1695382208,d,75.0,75.0,Hamstring injury - 75% chance of playing
55459,1696516727,1696516727,i,0.0,0.0,Hamstring injury - Unknown return date
55459,1698395227,1698395227,a,50.0,100.0,
55494,1690810150,1690810150,a,,,
55494,1697747162,1696633209,i,0.0,0.0,Groin Injury - Unknown return date
55494,1698395227,1698395227,a,100.0,100.0,
55494,1703132577,1702753209,i,100.0,0.0,Hamstring injury - Unknown return date
55494,1706907193,1706907193,i,0.0,0.0,Hamstring injury - Expected back 12 Feb
55494,1707224524,1707224524,d,0.0,50.0,Hamstring injury - 50% chance of playing
55494,1707907334,1707907334,a,75.0,100.0,
56917,1690810150,1690810150,a,,,
56917,1692153327,1691675273,u,0.0,0.0,Permanent transfer to QPR
56979,1690810150,1690532925,u,,0.0,Permanent transfer to Al-Ettifaq
56983,1690810150,1690810150,a,,,
57328,1690810150,1690810150,a,,,
57531,1690810150,1690810150,a,,,
57531,1696516727,1696494609,d,,75.0,Muscle injury - 75% chance of playing
57531,1697747162,1697747162,a,75.0,100.0,
57531,1700832134,1700568010,d,100.0,50.0,Knee injury - 50% chance of playing
57531,1701358847,1701358847,i,0.0,0.0,Knee injury - Expected back 10 Dec
57531,1702024280,1702024280,d,25.0,25.0,Knee injury - 25% chance of playing
57531,1706014880,1706014880,d,50.0,50.0,Knee injury - 50% chance of playing
57531,1706907193,1706907193,d,50.0,25.0,Knee injury - 25% chance of playing
57531,1707907334,1707907334,i,0.0,0.0,Lack of match fitness - Expected back 17 Feb
57531,1708597419,1708597419,a,100.0,100.0,
58621,1690810150,1690810150,a,,,
58621,1711958921,1711364409,i,0.0,0.0,Hamstring injury - Unknown return date
58621,1713255760,1713255760,a,25.0,100.0,
58822,1690810150,1690810150,a,,,
59735,1690810150,1690786864,u,,0.0,Permanent move to Leeds Utd
59949,1690810150,1690810150,a,,,
59949,1691655056,1691364606,i,,0.0,Knee injury - Unknown return date
59949,1693216941,1693216941,i,0.0,0.0,Knee injury - Expected back 21 Oct
59949,1697747162,1697747162,d,0.0,25.0,Lack of match fitness - 25% chance of playing
59949,1700832134,1700832134,d,25.0,50.0,Lack of match fitness - 50% chance of playing
59949,1701358847,1701358847,a,75.0,100.0,
59949,1702024280,1702000809,d,100.0,75.0,Knock - 75% chance of playing
59949,1703132577,1703132577,d,0.0,50.0,Knock - 50% chance of playing
59949,1703826734,1703826734,a,50.0,100.0,
59949,1706907193,1706205609,d,50.0,50.0,Lack of match fitness - 50% chance of playing
59949,1707224524,1707224524,a,50.0,100.0,
59949,1713255760,1713225610,d,100.0,75.0,Groin Injury - 75% chance of playing
59949,1714205884,1714205884,d,50.0,25.0,Groin Injury - 25% chance of playing
59949,1714725260,1714725260,d,25.0,75.0,Lack of match fitness - 75% chance of playing
59949,1715260525,1715260525,a,75.0,100.0,
60232,1690810150,1690810150,a,,,
60232,1700832134,1699819209,s,,0.0,Suspended until 02 Dec
60232,1701358847,1701358847,a,0.0,100.0,
60232,1703505557,1703451611,d,100.0,75.0,Knock - 75% chance of playing
60232,1704272252,1704272252,a,100.0,100.0,
60232,1710510981,1709913610,d,50.0,50.0,Groin Injury - 50% chance of playing
60232,1710953733,1710953733,d,50.0,75.0,Groin Injury - 75% chance of playing
60232,1711958921,1711958921,i,0.0,0.0,Groin Injury - Expected back 06 Apr
60232,1712319850,1712319850,d,50.0,50.0,Groin Injury - 50% chance of playing
60232,1712572268,1712572268,a,50.0,100.0,
60232,1714205884,1713538810,i,0.0,0.0,Groin Injury - Expected back 01 Jun
60252,1698395227,1698395227,a,,,
60307,1690810150,1690810150,a,,,
60307,1695656041,1695391208,d,50.0,50.0,Muscle injury - 50% chance of playing
60307,1696516727,1696516727,d,0.0,75.0,Muscle injury - 75% chance of playing
60307,1697747162,1697747162,a,100.0,100.0,
60586,1690810150,1690810150,a,,,
60586,1696516727,1695646808,d,75.0,75.0,Muscle injury - 75% chance of playing
60586,1697747162,1697747162,d,25.0,50.0,Muscle injury - 50% chance of playing
60586,1698395227,1698395227,d,50.0,25.0,Muscle injury - 25% chance of playing
60586,1698936236,1698936236,a,25.0,100.0,
60586,1703132577,1703008809,d,100.0,50.0,Knock - 50% chance of playing
60586,1703826734,1703826734,a,75.0,100.0,
60689,1690810150,1690810150,a,,,
60689,1698936236,1698616811,d,,75.0,Hamstring injury - 75% chance of playing
60689,1699560201,1699560201,i,0.0,0.0,Hamstring injury - Expected back 25 Nov
60689,1700832134,1700832134,a,50.0,100.0,
60689,1706907193,1706891238,d,100.0,75.0,Hamstring injury - 75% chance of playing
60689,1707907334,1707907334,i,0.0,0.0,Hamstring injury - Unknown return date
60689,1709830677,1709830677,d,50.0,50.0,Hamstring injury - 50% chance of playing
60689,1710510981,1710510981,a,75.0,100.0,
60706,1690810150,1690810150,a,,,
60914,1690810150,1690810150,a,,,
60914,1701695043,1701646210,d,,25.0,Knee injury - 25% chance of playing
60914,1702024280,1702024280,i,0.0,0.0,Knee injury - Expected back 19 May
61256,1690810150,1690810150,a,,,
61256,1697747162,1697738410,i,,0.0,Ankle injury - Expected back 29 Oct
61256,1698395227,1698395227,d,0.0,75.0,Ankle injury - 75% chance of playing
61256,1698936236,1698922808,i,50.0,0.0,Knock - Unknown return date
61256,1699560201,1699560201,i,0.0,0.0,Hamstring injury - Expected back 14 Jan
61256,1704272252,1704272252,d,0.0,50.0,Hamstring injury - 50% chance of playing
61256,1706014880,1706014880,a,100.0,100.0,
61256,1710953733,1710799209,d,100.0,75.0,Muscle injury - 75% chance of playing
61256,1711958921,1711958921,a,75.0,100.0,
61256,1712319850,1712273409,d,100.0,75.0,Knock - 75% chance of playing
61256,1712572268,1712572268,a,75.0,100.0,
61366,1690810150,1690810150,a,,100.0,
61366,1692153327,1691827207,i,100.0,0.0,Hamstring injury - Expected back 16 Dec
61366,1702301755,1702301755,i,0.0,0.0,Hamstring injury - Expected back 27 Dec
61366,1703132577,1703132577,d,0.0,50.0,Lack of match fitness - 50% chance of playing
61366,1704272252,1704272252,a,0.0,100.0,
61366,1710953733,1710514809,d,75.0,75.0,Groin Injury - 75% chance of playing
61366,1711958921,1711958921,a,75.0,100.0,
61366,1716086163,1715725808,d,100.0,75.0,Ankle injury - 75% chance of playing
61366,1716833102,1716833102,a,75.0,100.0,
61558,1690810150,1690810150,a,,,
61558,1693216941,1692955807,i,0.0,0.0,Lack of match fitness - Expected back 03 Sep
61558,1693998038,1693998038,i,0.0,0.0,Lack of match fitness - Expected back 16 Sep
61558,1695201757,1695201757,i,0.0,0.0,Lack of match fitness - Unknown return date
61558,1699560201,1699560201,i,0.0,0.0,Hip injury - Expected back 01 Jan
61558,1704272252,1704272252,i,0.0,0.0,Hip injury - Expected back 31 Jan
61558,1706014880,1706014880,i,0.0,0.0,Hip injury - Expected back 24 Feb
61558,1707224524,1707224524,a,0.0,100.0,
61558,1707907334,1707413408,i,0.0,0.0,Muscle injury - Unknown return date
61558,1716833102,1716833102,d,25.0,25.0,Lack of match fitness - 25% chance of playing
66749,1690810150,1690810150,a,,,
66749,1693998038,1693553075,u,0.0,0.0,Season-long loan to Roma
67089,1690810150,1690810150,a,,,
67089,1696516727,1696516727,a,75.0,100.0,
69752,1690810150,1690810150,a,,,
69752,1698936236,1698413408,i,0.0,0.0,Ankle injury - Expected back 25 Nov
69752,1700832134,1700832134,a,75.0,100.0,
75115,1690810150,1690810150,a,,,
75115,1696516727,1695871810,d,75.0,50.0,Hamstring injury - 50% chance of playing
75115,1697747162,1697747162,a,50.0,100.0,
75115,1699560201,1699434010,d,100.0,75.0,Hamstring injury - 75% chance of playing
75115,1700832134,1700832134,d,75.0,50.0,Hamstring injury - 50% chance of playing
75115,1701358847,1701358847,d,25.0,25.0,Hamstring injury - 25% chance of playing
75115,1702301755,1702301755,a,25.0,100.0,
75115,1704272252,1704184212,d,100.0,25.0,Calf injury - 25% chance of playing
75115,1706014880,1706014880,d,0.0,50.0,Calf injury - 50% chance of playing
75115,1706907193,1706907193,d,0.0,75.0,Lack of match fitness - 75% chance of playing
