code,observed_at,start_at,status,chance_this,chance_next,news
9089,1626901033,1626901033,a,,,
9089,1630335330,1630063811,i,0.0,0.0,Hamstring injury - Unknown return date
9089,1631631391,1631631391,d,0.0,50.0,Hamstring injury - 50% chance of playing
9089,1632300087,1632300087,a,100.0,100.0,
9089,1638180609,1638138618,d,100.0,25.0,Groin Injury - 25% chance of playing
9089,1638522834,1638522834,i,0.0,0.0,Groin Injury - Expected back 15 Jan
9089,1642060544,1642060544,d,0.0,50.0,Groin Injury - 50% chance of playing
9089,1642654637,1642654637,a,100.0,100.0,
11948,1630335330,1630335330,a,,,
11974,1630335330,1630335330,a,,,
11974,1651244416,1651068018,d,,50.0,Knock - 50% chance of playing
11974,1653046146,1653046146,a,100.0,100.0,
14937,1631631391,1631631391,a,,,
14937,1639078188,1639078188,a,75.0,100.0,
14937,1642060544,1641857420,d,100.0,75.0,Hip injury - 75% chance of playing
14937,1642654637,1642654637,a,75.0,100.0,
14937,1647081070,1646645414,d,100.0,75.0,Hip injury - 75% chance of playing
14937,1647627440,1647627440,a,100.0,100.0,
14937,1649340876,1648942219,d,100.0,75.0,Illness - 75% chance of playing
14937,1649769992,1649769992,a,100.0,100.0,
14937,1653306622,1653141613,d,25.0,25.0,Hip injury - 25% chance of playing
15157,1626901033,1626901033,a,,,
15157,1629795335,1629559809,d,,75.0,Knock - 75% chance of playing
15157,1630335330,1630335330,i,0.0,0.0,Knock - Unknown return date
15157,1631631391,1631631391,a,50.0,100.0,
15157,1635154236,1635114613,d,100.0,75.0,Hamstring injury - 75% chance of playing
15157,1635844587,1635844587,i,0.0,0.0,Hamstring injury - Expected back 20 Nov
15157,1636451039,1636451039,d,0.0,50.0,Hamstring injury - 50% chance of playing
15157,1638180609,1638180609,a,100.0,100.0,
15749,1626901033,1626901033,a,,,
15749,1628766408,1628065420,u,,0.0,Transferred to Celtic
17349,1630335330,1630335330,a,,,
17349,1636451039,1636034416,d,75.0,75.0,Illness - 75% chance of playing
17349,1637576440,1637576440,a,100.0,100.0,
17601,1631631391,1631631391,a,,,
17745,1626901033,1626901033,a,,,
17745,1639078188,1638748817,d,,75.0,Hand injury - 75% chance of playing
17745,1639416474,1639416474,a,100.0,100.0,
17761,1626901033,1626901033,a,,,
17761,1637576440,1637429408,s,,0.0,Suspended until 01 Dec
17761,1638180609,1638138617,s,0.0,0.0,Suspended until 04 Dec
17761,1638522834,1638522834,a,0.0,100.0,
17761,1652452024,1651959012,d,100.0,75.0,Hamstring injury - 75% chance of playing
17761,1653046146,1653046146,a,50.0,100.0,
17997,1626901033,1626901033,a,,,
17997,1638522834,1638487810,d,,25.0,Muscle injury - 25% chance of playing
17997,1639416474,1639416474,a,25.0,100.0,
18073,1626901033,1626901033,a,,,
18073,1634634298,1634502614,d,,75.0,Hip injury - 75% chance of playing
18073,1635154236,1635154236,a,100.0,100.0,
18073,1642654637,1642183217,d,50.0,50.0,Knock - 50% chance of playing
18073,1644246349,1644246349,a,50.0,100.0,
18499,1626901033,1626901033,a,,,
18892,1626901033,1626901033,a,,,
18892,1639994742,1639751414,d,50.0,50.0,Knock - 50% chance of playing
18892,1642060544,1642060544,d,25.0,25.0,Toe Injury - 25% chance of playing
18892,1642654637,1642654637,a,25.0,100.0,
19236,1626901033,1626901033,a,,,
19624,1626901033,1626901033,a,,,
19624,1644571439,1644566415,d,,50.0,Calf injury - 50% chance of playing
19624,1645785079,1645785079,a,100.0,100.0,
19838,1630335330,1630335330,a,,,
19838,1644571439,1644571439,a,0.0,100.0,
20066,1626901033,1626901033,a,,,
20066,1632950337,1632304817,d,50.0,50.0,Ankle injury - 50% chance of playing
20066,1633336603,1633336603,a,100.0,100.0,
20310,1639078188,1639078188,a,,,
20452,1628766408,1628766408,a,,,
20452,1631631391,1630668616,d,25.0,75.0,Illness - 75% chance of playing
20452,1632300087,1631800809,d,75.0,75.0,Lack of match fitness - 75% chance of playing
20452,1632950337,1632950337,a,100.0,100.0,
20452,1649340876,1649338215,d,100.0,75.0,Ankle injury - 75% chance of playing
20452,1650616373,1650616373,a,100.0,100.0,
20467,1626901033,1626901033,a,,,
20467,1631631391,1631269815,i,0.0,0.0,Knock - Unknown return date
20467,1632300087,1632300087,i,0.0,0.0,Thigh injury - Expected back 02 Oct
20467,1632950337,1632950337,d,25.0,25.0,Lack of match fitness - 25% chance of playing
20467,1633336603,1633336603,a,75.0,100.0,
20467,1642654637,1642161615,d,0.0,75.0,Illness - 75% chance of playing
20467,1644246349,1644246349,a,100.0,100.0,
20480,1626901033,1626901033,a,,,
20480,1640689447,1640507419,d,25.0,25.0,Illness - 25% chance of playing
20480,1640951218,1640951218,d,25.0,50.0,Illness - 50% chance of playing
20480,1642060544,1642060544,a,75.0,100.0,
20480,1642654637,1642271414,d,100.0,75.0,Shoulder injury - 75% chance of playing
20480,1644246349,1644246349,i,0.0,0.0,Shoulder injury - Expected back 25 Feb
20480,1645785079,1645785079,a,0.0,100.0,
21205,1628766408,1628766408,a,,,
21205,1645785079,1645785079,a,0.0,100.0,
27789,1626901033,1626901033,a,,,
27789,1652452024,1652311811,d,,50.0,Muscle injury - 50% chance of playing
27789,1653046146,1653046146,a,50.0,100.0,
28690,1626901033,1626687535,u,,0.0,Left the club at the end of the 2020/21 season
32259,1626901033,1626901033,a,,,
37096,1626901033,1626901033,a,,,
37096,1644246349,1642896014,d,,75.0,Knock - 75% chance of playing
37096,1644571439,1644571439,a,75.0,100.0,
37642,1626901033,1626901033,a,,,
37642,1628766408,1628073008,i,,0.0,Foot injury - Expected back 11 Sep
37642,1631631391,1631631391,a,75.0,100.0,
37642,1632300087,1631831414,d,25.0,25.0,Foot injury - 25% chance of playing
37642,1632950337,1632950337,a,100.0,100.0,
37642,1633336603,1633336603,d,25.0,75.0,Illness - 75% chance of playing
37642,1634634298,1634634298,a,75.0,100.0,
37642,1639416474,1639350018,d,100.0,25.0,Hamstring injury - 25% chance of playing
37642,1639732352,1639732352,d,25.0,50.0,Hamstring injury - 50% chance of playing
37642,1640951218,1640951218,i,50.0,0.0,Hamstring injury - Expected back 23 Jan
37642,1642060544,1642060544,i,0.0,0.0,Hamstring injury - Expected back 02 Apr
37642,1644246349,1644246349,i,0.0,0.0,Hamstring injury - Expected back 19 Mar
37642,1647081070,1647081070,i,0.0,0.0,Hamstring injury - Expected back 20 Mar
37642,1647627440,1647627440,i,0.0,0.0,Hamstring injury - Expected back 02 Apr
37642,1647855483,1647855483,a,50.0,100.0,
37915,1626901033,1626901033,a,,,
38290,1626901033,1626901033,a,,,
38290,1635154236,1635012013,d,,75.0,Knock - 75% chance of playing
38290,1635844587,1635844587,a,100.0,100.0,
38290,1640951218,1640737820,d,100.0,75.0,Knee injury - 75% chance of playing
38290,1642060544,1642060544,i,0.0,0.0,Knee injury - Unknown return date
38290,1642654637,1642654637,a,100.0,100.0,
38290,1644246349,1643977820,n,100.0,0.0,Not included in Watford's 25-man Premier League squad - Unknown return date
38533,1626901033,1626248865,u,,0.0,Transferred to Roma
39155,1626901033,1626901033,a,,,
39155,1638522834,1638403215,i,,0.0,Muscle injury - Unknown return date
39155,1639078188,1639078188,i,0.0,0.0,Calf injury - Expected back 18 Dec
39155,1639732352,1639732352,a,75.0,100.0,
39155,1642654637,1642435218,d,100.0,50.0,Hamstring injury - 50% chance of playing
39155,1644246349,1644246349,a,0.0,100.0,
39155,1646243308,1645912812,d,100.0,75.0,Hamstring injury - 75% chance of playing
39155,1647081070,1647081070,a,100.0,100.0,
39155,1647627440,1647133220,d,100.0,75.0,Hamstring injury - 75% chance of playing
39155,1649340876,1649340876,a,0.0,100.0,
39487,1626901033,1626901033,a,,,
39487,1642060544,1641817821,d,,75.0,Illness - 75% chance of playing
39487,1644246349,1644246349,a,100.0,100.0,
39487,1646243308,1645914617,d,100.0,75.0,Knock - 75% chance of playing
39487,1647081070,1647081070,i,0.0,0.0,Knee injury - Expected back 02 Apr
39487,1649340876,1649340876,i,0.0,0.0,Knee injury - Unknown return date
39487,1651244416,1651244416,i,0.0,0.0,Knee injury - Expected back 07 May
39487,1651564399,1651564399,d,0.0,50.0,Knee injury - 50% chance of playing
39487,1652452024,1652452024,a,75.0,100.0,
39487,1653046146,1652995812,d,100.0,50.0,Knock - 50% chance of playing
39487,1653306622,1653306622,d,25.0,25.0,Calf injury - 25% chance of playing
39790,1626901033,1626170405,u,,0.0,Joined Elche CF on a season-long loan - Expected back 01 Jul
40145,1626901033,1626901033,a,,,
40145,1653046146,1653046146,a,75.0,100.0,
40146,1626901033,1626901033,a,,,
40146,1629104419,1628964010,d,,75.0,Illness - 75% chance of playing
40146,1629795335,1629795335,i,0.0,0.0,Illness - Expected back 28 Aug
40146,1630335330,1630191612,d,100.0,75.0,Illness - 75% chance of playing
40146,1631631391,1631631391,a,100.0,100.0,
40146,1640689447,1640595612,d,100.0,50.0,Knee injury - 50% chance of playing
40146,1640951218,1640951218,i,50.0,0.0,Knee injury - Expected back 15 Jan
40146,1642060544,1642060544,d,0.0,25.0,Knee injury - 25% chance of playing
40146,1642654637,1642654637,i,0.0,0.0,Knee injury - Unknown return date
40349,1626901033,1626901033,a,,,
40383,1626901033,1626901033,a,,,
40383,1639078188,1638531009,d,50.0,25.0,Hamstring injury - 25% chance of playing
