code,observed_at,start_at,status,chance_this,chance_next,news
15157,1753156525,1753156525,a,,,
15157,1761955906,1761685208,d,,25.0,Muscle injury - 25% chance of playing
15157,1763417222,1763417222,d,25.0,50.0,Muscle injury - 50% chance of playing
15157,1763743589,1763743589,i,25.0,0.0,Muscle injury - Expected back 13 Dec
15157,1765005920,1765005920,i,0.0,0.0,Muscle injury - Unknown return date
15157,1765614340,1765614340,a,0.0,100.0,
15157,1775945454,1775945454,d,100.0,75.0,Knock - 75% chance of playing
15157,1776501074,1776501074,d,100.0,25.0,Knock - 25% chance of playing
15157,1777711559,1777711559,i,0.0,0.0,Knock - Expected back 09 May
15157,1777760246,1777760246,d,0.0,50.0,Knock - 50% chance of playing
15157,1778316628,1778316628,a,0.0,100.0,
17761,1753156525,1753156525,a,,,
17761,1763591261,1763591261,a,0.0,0.0,
17761,1763593538,1763593538,a,,,
17761,1773822704,1773822704,d,,75.0,Knock - 75% chance of playing
17761,1774130880,1774130880,a,75.0,100.0,
19236,1763849178,1763849178,a,,,
21205,1753156525,1753156525,a,,,
21205,1763591261,1763591261,a,0.0,0.0,
21205,1763593538,1763593538,a,,,
37096,1757610260,1757610260,a,,,
37096,1762503944,1762502409,d,,25.0,Back injury - 25% chance of playing
37096,1766219148,1766219148,a,25.0,100.0,
37096,1767687979,1767687979,d,100.0,25.0,Back injury - 25% chance of playing
37096,1776501074,1776501074,a,25.0,100.0,
40383,1767478018,1767478018,a,,,
44699,1753156525,1753156525,a,,,
44699,1763591261,1763591261,a,0.0,0.0,
44699,1763593538,1763593538,a,,,
49262,1753156525,1753156525,a,,,
49262,1763591261,1763591261,a,0.0,0.0,
49262,1763593538,1763593538,a,,,
50175,1753156525,1753156525,a,,,
50175,1763591261,1763591261,a,0.0,0.0,
50175,1763593538,1763593538,a,,,
50175,1766219148,1766219148,d,,75.0,Back injury - 75% chance of playing
50175,1766873233,1766873233,a,75.0,100.0,
51943,1753156525,1753156525,a,,,
51943,1763591261,1763591261,a,0.0,0.0,
51943,1763593538,1763593538,a,,,
54469,1753156525,1753156525,a,,,
54469,1756628683,1756602008,d,,50.0,Hamstring injury - 50% chance of playing
54469,1757696658,1757696658,i,,0.0,Hamstring injury - Unknown return date
54469,1758301479,1758301479,i,0.0,0.0,Hamstring injury - Expected back 18 Oct
54469,1759597454,1759597454,d,0.0,50.0,Hamstring injury - 50% chance of playing
54469,1760720663,1760720663,d,0.0,75.0,Lack of match fitness - 75% chance of playing
54469,1760948747,1760948747,a,75.0,100.0,
56979,1753156525,1753156525,a,,,
56979,1763591261,1763591261,a,0.0,0.0,
56979,1763593538,1763593538,a,,,
56979,1766077634,1766077634,d,,75.0,Knock - 75% chance of playing
56979,1766305538,1766305538,a,75.0,100.0,
56979,1768169236,1768169236,d,100.0,75.0,Ankle injury - 75% chance of playing
56979,1769502399,1769502399,a,75.0,100.0,
56979,1775945454,1775945454,d,100.0,25.0,Knock - 25% chance of playing
56979,1776501074,1776501074,i,100.0,0.0,Knock - Expected back 02 May
56979,1777106067,1777106067,d,0.0,50.0,Knock - 50% chance of playing
56979,1777711559,1777711559,d,75.0,75.0,Knock - 75% chance of playing
56979,1778316628,1778316628,a,75.0,100.0,
57328,1753156525,1753156525,a,,,
57328,1763591261,1763591261,a,0.0,0.0,
57328,1763593538,1763593538,a,,,
57328,1767564440,1767564440,d,,75.0,Knock - 75% chance of playing
57328,1767737264,1767737264,i,0.0,0.0,Knock - Expected back 17 Jan
57328,1768206409,1768206409,d,0.0,50.0,Knock - 50% chance of playing
57328,1768638346,1768638346,d,0.0,25.0,Knock - 25% chance of playing
57328,1768811210,1768811210,a,25.0,100.0,
57328,1777106067,1777106067,d,75.0,75.0,Illness - 75% chance of playing
57328,1777192925,1777192925,a,75.0,100.0,
58621,1753156525,1753156525,a,,,
58621,1763591261,1763591261,a,0.0,0.0,
58621,1763593538,1763593538,a,,,
58621,1765058794,1765058794,s,,0.0,Suspended until 20 Dec
58621,1765663597,1765663597,a,0.0,100.0,
