code,observed_at,start_at,status,chance_this,chance_next,news
17761,1785832691,1785832691,a,,,
21205,1785832691,1785832691,a,,,
21205,1787270210,1786809608,i,,0.0,Hamstring injury - Unknown return date
40383,1785832691,1785832691,a,,,
49262,1785832691,1785832691,a,,,
50093,1785832691,1785832691,a,,,
50175,1785832691,1785832691,a,,,
50175,1787270210,1787234408,d,,75.0,Unspecified injury - 75% chance of playing
50175,1787910473,1787910473,a,75.0,100.0,
54469,1785832691,1785832691,a,,,
56979,1785832691,1784808083,u,,0.0,has departed the club as a free agent.
56979,1787270210,1786267807,d,,75.0,Wrist injury - 75% chance of playing
56979,1789134473,1786267807,i,75.0,0.0,Wrist injury - Unknown return date
59735,1785832691,1784808084,d,,75.0,Unspecified injury - 75% chance of playing
59735,1787910473,1787910473,a,75.0,100.0,
60307,1785832691,1785832691,a,,,
60689,1785832691,1785832691,a,,,
67089,1785832691,1785832691,a,,,
72147,1785832691,1785832691,a,,,
75115,1785832691,1785832691,a,,,
76357,1785832691,1785832691,a,,,
76357,1787270210,1786730406,i,,0.0,Knee injury - Expected back 10 Oct
78916,1785832691,1785832691,a,,,
78916,1787910473,1787508008,i,,0.0,Ankle injury - Expected back 14 Sep
79602,1788894459,1788894459,a,,,
80178,1785832691,1785832691,a,,,
80201,1785832691,1785832691,a,,,
81441,1785832691,1785832691,a,,,
83299,1785832691,1785832691,a,,,
84450,1785832691,1785832691,a,,,
85633,1785832691,1785832691,a,,,
86873,1785832691,1785832691,a,,,
88894,1785832691,1785832691,a,,,
91651,1785832691,1785832691,a,,,
93605,1785832691,1785832691,a,,,
93605,1787270210,1787270210,a,,100.0,
95658,1785832691,1785832691,a,,,
97032,1785832691,1785832691,a,,,
97846,1788894459,1788894459,a,,,
98747,1785832691,1785832691,a,,,
98980,1785832691,1785832691,a,,,
101188,1785832691,1785832691,a,,,
101188,1787270210,1786370610,u,,0.0,Has joined Paris Saint-Germain permanently
101282,1785832691,1785832691,a,,,
101282,1788894459,1788015609,d,75.0,75.0,Thigh injury - 75% chance of playing
101282,1788963289,1788963289,a,75.0,100.0,
105666,1785832691,1785832691,a,,,
105666,1787270210,1786215606,i,,0.0,Arm injury - Unknown return date
105717,1785832691,1785832691,a,,,
105717,1787270210,1786543683,u,,0.0,Has joined Konyaspor permanently
106611,1785832691,1785832691,a,,,
106760,1785832691,1785832691,a,,,
106760,1789134473,1789131609,d,,75.0,Unspecified injury - 75% chance of playing
106921,1787270210,1787270210,a,,,
108413,1785832691,1785832691,a,,,
108416,1785832691,1785832691,a,,,
108813,1785832691,1785832691,a,,,
109646,1785832691,1785832691,a,,,
109745,1785832691,1785832691,a,,,
110690,1785832691,1785832691,a,,,
111234,1785832691,1785832691,a,,,
111317,1785832691,1785832691,a,,,
111317,1787270210,1786811407,d,,75.0,Unspecified injury - 75% chance of playing
111317,1787910473,1787910473,a,75.0,100.0,
112520,1785832691,1785832691,a,,,
114243,1785832691,1785832691,a,,,
114283,1785832691,1785319210,d,,75.0,Foot injury - 75% chance of playing
114283,1787270210,1787270210,a,,100.0,
115556,1785832691,1785832691,a,,,
116535,1785832691,1785832691,a,,,
119090,1788894459,1788894459,a,,,
119090,1788963289,1788946208,i,,0.0,Knee injury - Expected back 10 Oct
119471,1785832691,1785832691,a,,100.0,
121709,1785832691,1785832691,a,,,
122074,1785832691,1785832691,a,,,
122798,1785832691,1785832691,a,,,
122806,1785832691,1785832691,a,,,
128295,1785832691,1785832691,a,,,
128295,1787270210,1786824007,d,,25.0,Unspecified injury - 25% chance of playing
128295,1787910473,1787910473,i,0.0,0.0,Unspecified injury - Unknown return date
128295,1788894459,1788894459,i,0.0,0.0,Groin injury - Unknown return date
135720,1785832691,1785832691,a,,,
138001,1785832691,1785832691,a,,,
141746,1785832691,1785832691,a,,,
146426,1785832691,1785832691,a,,,
146426,1787910473,1787910473,a,,100.0,
147675,1785832691,1785832691,a,,,
149484,1785832691,1785832691,a,,,
149929,1785832691,1785832691,a,,,
149929,1787270210,1786370568,u,,0.0,Has joined Leicester City permanently
152551,1785832691,1785832691,a,,,
153133,1785832691,1785832691,a,,,
153366,1785832691,1785832691,a,,,
153682,1785832691,1785832691,a,,,
154043,1788894459,1788894459,a,,,
154561,1785832691,1785832691,a,,,
154566,1785832691,1785832691,a,,,
155405,1785832691,1785832691,a,,,
155405,1787270210,1787062316,u,,0.0,Has joined Sheffield United on loan for the rest of the season
155408,1785832691,1785832691,a,,,
155465,1788894459,1788894459,a,,,
155503,1785832691,1785832691,a,,,
158499,1785832691,1784914210,s,,0.0,Suspended until 29 Aug
158499,1787910473,1787910473,a,0.0,100.0,
158983,1785832691,1784808084,d,,75.0,Ankle injury - 75% chance of playing
158983,1787270210,1787270210,a,,100.0,
159506,1785832691,1785832691,a,,,
160817,1785832691,1785832691,a,,,
160817,1788963289,1788960608,d,,75.0,Foot injury - 75% chance of playing
160817,1789045578,1789045578,a,,100.0,
166477,1785832691,1785832691,a,,,
166989,1785832691,1784808083,d,,75.0,Hamstring injury - 75% chance of playing
166989,1787270210,1787270210,a,,100.0,
167074,1785832691,1785832691,a,,,
167512,1785832691,1785832691,a,,,
167825,1785832691,1785832691,a,,,
168144,1785832691,1785832691,a,,,
168636,1785832691,1785832691,a,,,
168636,1787270210,1786716862,u,,0.0,Has joined Getafe permanently
169359,1785832691,1785832691,a,,,
169432,1785832691,1785832691,a,,,
169528,1785832691,1785832691,a,,,
169593,1785832691,1785832691,a,,,
171270,1785832691,1785832691,a,,,
171287,1785832691,1785054610,i,,0.0,Muscular injury - Unknown return date
171314,1785832691,1785832691,a,,,
172453,1785832691,1785832691,a,,,
172453,1787270210,1786974702,u,,0.0,Has joined Derby County on loan for the rest of the season
172649,1785832691,1785832691,a,,,
172649,1787270210,1787234408,d,,75.0,Ankle injury - 75% chance of playing
172649,1787910473,1787910473,a,75.0,100.0,
172649,1789230234,1789221609,i,100.0,0.0,Foot injury - Expected back 11 Oct
172780,1785832691,1785832691,a,,,
172780,1787910473,1787668208,d,,75.0,Shoulder injury - 75% chance of playing
172780,1789202150,1789202150,a,75.0,100.0,
172850,1788894459,1788894459,a,,,
173774,1787270210,1787270210,a,,,
173878,1785832691,1785832691,a,,,
173879,1785832691,1784808083,i,,0.0,Shoulder injury - Expected back 23 Aug
173879,1787270210,1786809608,d,,75.0,Knock - 75% chance of playing
173879,1788894459,1788894459,a,100.0,100.0,
174594,1785832691,1785832691,a,,,
174874,1785832691,1784808084,s,,0.0,Suspended until 29 Aug
174874,1787270210,1787270210,s,,0.0,Suspended until 30 Aug
174874,1787910473,1787910473,a,0.0,100.0,
176297,1785832691,1785832691,a,,,
176412,1785832691,1785832691,a,,,
176412,1787270210,1786744807,i,,0.0,Thigh injury - Unknown return date
176420,1785832691,1785832691,a,,,
177815,1785832691,1785832691,a,,,
178301,1785832691,1785832691,a,,,
178301,1788894459,1788268517,u,0.0,0.0,Has joined Al Hilal permanently
180135,1785832691,1785832691,a,,,
180736,1785832691,1785832691,a,,,
180736,1787270210,1786370631,u,,0.0,Has joined Como permanently
180974,1785832691,1784808084,d,,75.0,Thigh injury - 75% chance of playing
180974,1787270210,1786867208,i,,0.0,Unspecified injury - Unknown return date
183015,1785832691,1785832691,a,,,
183656,1785832691,1785832691,a,,,
183656,1788894459,1788528608,i,0.0,0.0,Hamstring injury - Expected back 10 Oct
184029,1785832691,1785832691,a,,,
184254,1785832691,1785832691,a,,,
184254,1787270210,1787147733,u,,0.0,Has joined Juventus on loan for the rest of the season
184341,1785832691,1785832691,a,,,
184341,1787270210,1786809608,d,,50.0,Foot injury - 50% chance of playing
184341,1787910473,1787910473,d,50.0,75.0,Foot injury - 75% chance of playing
184341,1788894459,1788894459,a,75.0,100.0,
184349,1785832691,1785832691,a,,,
184667,1785832691,1785832691,a,,,
191866,1785832691,1785832691,a,,,
193278,1785832691,1785832691,a,,,
193278,1787910473,1787910473,a,,100.0,
194010,1785832691,1785832691,a,,,
195384,1785832691,1785832691,a,,,
195546,1785832691,1785832691,a,,,
196100,1787270210,1787270210,a,,,
198869,1785832691,1785832691,a,,100.0,
199598,1785832691,1785832691,a,,,
199796,1785832691,1785832691,a,,,
